vm_name,datacenter,vcenter
web-server-01,DatacenterA,vc1.example.com
web-server-02,DatacenterA,vc1.example.com
web-server-03,DatacenterA,vc1.example.com
web-server-04,DatacenterA,vc1.example.com
web-server-05,DatacenterA,vc1.example.com
app-server-01,DatacenterA,vc1.example.com
app-server-02,DatacenterA,vc1.example.com
app-server-03,DatacenterA,vc1.example.com
app-server-04,DatacenterA,vc1.example.com
app-server-05,DatacenterA,vc1.example.com
db-server-01,DatacenterA,vc1.example.com
db-server-02,DatacenterA,vc1.example.com
db-server-03,DatacenterA,vc1.example.com
db-server-04,DatacenterA,vc1.example.com
db-server-05,DatacenterA,vc1.example.com
infra-server-01,DatacenterA,vc1.example.com
infra-server-02,DatacenterA,vc1.example.com
infra-server-03,DatacenterA,vc1.example.com
infra-server-04,DatacenterA,vc1.example.com
infra-server-05,DatacenterA,vc1.example.com
test-server-01,DatacenterA,vc1.example.com
test-server-02,DatacenterA,vc1.example.com
test-server-03,DatacenterA,vc1.example.com
test-server-04,DatacenterA,vc1.example.com
test-server-05,DatacenterA,vc1.example.com
web-server-06,DatacenterB,vc2.example.com
web-server-07,DatacenterB,vc2.example.com
web-server-08,DatacenterB,vc2.example.com
web-server-09,DatacenterB,vc2.example.com
web-server-10,DatacenterB,vc2.example.com
app-server-06,DatacenterB,vc2.example.com
app-server-07,DatacenterB,vc2.example.com
app-server-08,DatacenterB,vc2.example.com
app-server-09,DatacenterB,vc2.example.com
app-server-10,DatacenterB,vc2.example.com
db-server-06,DatacenterB,vc2.example.com
db-server-07,DatacenterB,vc2.example.com
db-server-08,DatacenterB,vc2.example.com
db-server-09,DatacenterB,vc2.example.com
db-server-10,DatacenterB,vc2.example.com
infra-server-06,DatacenterB,vc2.example.com
infra-server-07,DatacenterB,vc2.example.com
infra-server-08,DatacenterB,vc2.example.com
infra-server-09,DatacenterB,vc2.example.com
infra-server-10,DatacenterB,vc2.example.com
test-server-06,DatacenterB,vc2.example.com
test-server-07,DatacenterB,vc2.example.com
test-server-08,DatacenterB,vc2.example.com
test-server-09,DatacenterB,vc2.example.com
test-server-10,DatacenterB,vc2.example.com
web-server-11,DatacenterC,vc3.example.com
web-server-12,DatacenterC,vc3.example.com
web-server-13,DatacenterC,vc3.example.com
web-server-14,DatacenterC,vc3.example.com
web-server-15,DatacenterC,vc3.example.com
app-server-11,DatacenterC,vc3.example.com
app-server-12,DatacenterC,vc3.example.com
app-server-13,DatacenterC,vc3.example.com
app-server-14,DatacenterC,vc3.example.com
app-server-15,DatacenterC,vc3.example.com
db-server-11,DatacenterC,vc3.example.com
db-server-12,DatacenterC,vc3.example.com
db-server-13,DatacenterC,vc3.example.com
db-server-14,DatacenterC,vc3.example.com
db-server-15,DatacenterC,vc3.example.com
infra-server-11,DatacenterC,vc3.example.com
infra-server-12,DatacenterC,vc3.example.com
infra-server-13,DatacenterC,vc3.example.com
infra-server-14,DatacenterC,vc3.example.com
infra-server-15,DatacenterC,vc3.example.com
test-server-11,DatacenterC,vc3.example.com
test-server-12,DatacenterC,vc3.example.com
test-server-13,DatacenterC,vc3.example.com
test-server-14,DatacenterC,vc3.example.com
test-server-15,DatacenterC,vc3.example.com
web-server-16,DatacenterD,vc4.example.com
web-server-17,DatacenterD,vc4.example.com
web-server-18,DatacenterD,vc4.example.com
web-server-19,DatacenterD,vc4.example.com
web-server-20,DatacenterD,vc4.example.com
app-server-16,DatacenterD,vc4.example.com
app-server-17,DatacenterD,vc4.example.com
app-server-18,DatacenterD,vc4.example.com
app-server-19,DatacenterD,vc4.example.com
app-server-20,DatacenterD,vc4.example.com
db-server-16,DatacenterD,vc4.example.com
db-server-17,DatacenterD,vc4.example.com
db-server-18,DatacenterD,vc4.example.com
db-server-19,DatacenterD,vc4.example.com
db-server-20,DatacenterD,vc4.example.com
infra-server-16,DatacenterD,vc4.example.com
infra-server-17,DatacenterD,vc4.example.com
infra-server-18,DatacenterD,vc4.example.com
infra-server-19,DatacenterD,vc4.example.com
infra-server-20,DatacenterD,vc4.example.com
test-server-16,DatacenterD,vc4.example.com
test-server-17,DatacenterD,vc4.example.com
test-server-18,DatacenterD,vc4.example.com
test-server-19,DatacenterD,vc4.example.com
test-server-20,DatacenterD,vc4.example.com
